title,link,current_price,original_price,discount_percentage,ratings,reviews
"Sony WI-C200 Wireless In-Ear Headphones with 15 Hours Battery Life, Quick Charge, Magnetic Earbuds for Tangle Free Carrying,Metallic Finish, Bluetooth ver 5.0, Headset with mic for phone calls (Black)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A020024439JEE92WDF6TC&url=%2FSony-WI-C200-Wireless-Neck-Band-Headphones%2Fdp%2FB07S13PJ3W%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036826%26sr%3D8-18-spons%26psc%3D1&qualifier=1620036826&id=6970539241222582&widgetName=sp_atf_next,1699.0,2990.0,43.17725752508361,3.9,21306
"ROCK LYFE New Combo Magnetic Wireless Neckband Bluetooth Earphone, Built-in Mic, Vibration Feature, Noise Cancellation Headset for All Android Smartphone & iOS Devoices",https://www.amazon.in/ROCK-LYFE-Bluetooth-Cancellation-Smartphone/dp/B08YBSF387/ref=sr_1_19?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-19,429.0,2499.0,82.83313325330131,4.8,8
"Boult Audio ProBass X1-WL in-Ear Wireless Earphones with 8 Hours Battery Life, Latest Bluetooth 5.0, IPX5 Sweatproof Headphones with mic (Black)",https://www.amazon.in/Boult-Audio-Earphones-Sweatproof-Headphones/dp/B08CZXQC3Z/ref=sr_1_20?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-20,849.0,2999.0,71.69056352117373,4.1,25817
"pTron Tangent Lite Bluetooth 5.0 Wireless Headphones with Hi-Fi Stereo Sound, 6Hrs Playtime, Lightweight Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Voice Assistant & Mic - (Black & Red)",https://www.amazon.in/Tangent-Lite-Magnetic-Bluetooth-Headphones/dp/B085W7FPY1/ref=sr_1_21?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-21,499.0,1800.0,72.27777777777777,3.6,28019
"pTron Bassfest Plus Magnetic in-Ear Bluetooth 5.0 Wireless Headphones, Stereo Sound with Bass, IPX4 Water & Sweat Resistant, Voice Assistance, Ergonomic & Lightweight, Built-in Mic - (Black & Grey)",https://www.amazon.in/Bassfest-Plus-Headphones-Assistance-Lightweight/dp/B08HKY84KL/ref=sr_1_22?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-22,499.0,1299.0,61.585835257890686,3.7,2911
"WeCool N1 Wireless Earphones with Dynamic Drivers for Immersive Music Experience, IPX5 Sweatproof, 12 Hours Playtime, Flexible Neckband Headphones (Black)",https://www.amazon.in/N1-Earphones-Experience-Sweatproof-Headphones/dp/B08S6Z2L7P/ref=sr_1_23?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-23,599.0,1999.0,70.03501750875438,3.6,2067
WeCool Moonwalk M2 in Ear True Wireless Earbuds with Smart Touch Control and High Bass HD Sound Quality IPX5 TWS Bluetooth Earphones with Digital Display (Black),https://www.amazon.in/Moonwalk-M2-Wireless-Bluetooth-Earphones/dp/B08K2XYM29/ref=sr_1_24?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-24,999.0,2999.0,66.68889629876625,3.4,5103
"pTron Bassbuds Pro in-Ear True Wireless Bluetooth 5.0 Headphones with Deep Bass, Touch Control Earbuds with IPX4 Water & Sweat Resistance, Digital Display Case, Earphones with Built-in Mic - (Black)",https://www.amazon.in/PTron-Bassbuds-Pro-Bluetooth-Headphones/dp/B081QWM3WN/ref=sr_1_25?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-25,999.0,2889.0,65.42056074766354,3.6,14945
"pTron Bassbuds Lite V2 In-Ear True Wireless Bluetooth 5.0 Headphones with HiFi Deep Bass, Total 20Hrs Playtime, Ergonomic Sweatproof Earbuds, Noise Isolation, Voice Assistance & Built-in Mic - (Black)",https://www.amazon.in/PTron-Bassbuds-Lite-Bluetooth-Headphones/dp/B081QXQVFM/ref=sr_1_26?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-26,799.0,2000.0,60.050000000000004,3.6,20158
"Boult Audio AirBass MuseBuds True Wireless Earbuds with 18H Total Playtime, Deep bass with Sports fit, IPX5 Sweatproof, Voice Assistant and Built in mic (Black)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A081300727XA6XU633N3A&url=%2FBoult-Audio-Earphones-Bluetooth-Headphone%2Fdp%2FB08CZZBRLG%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036826%26sr%3D8-27-spons%26psc%3D1&qualifier=1620036826&id=6970539241222582&widgetName=sp_mtf,1199.0,6999.0,82.86898128304043,3.7,3198
