title,link
FIFA publish statement about new European Super League,https://news.google.com/articles/CBMiUmh0dHBzOi8vd3d3Lm1hbmFnaW5nbWFkcmlkLmNvbS8yMDIxLzQvMTkvMjIzOTE0NjgvZmlmYS1zdXBlci1sZWFndWUtc3RhdGVtZW50LTIwMjHSAV9odHRwczovL3d3dy5tYW5hZ2luZ21hZHJpZC5jb20vcGxhdGZvcm0vYW1wLzIwMjEvNC8xOS8yMjM5MTQ2OC9maWZhLXN1cGVyLWxlYWd1ZS1zdGF0ZW1lbnQtMjAyMQ?hl=en-IN&gl=IN&ceid=IN%3Aen
"IPL 2021: Match 13, DC vs MI Match Prediction – Who will win today’s match?",https://news.google.com/articles/CAIiEIqBqaIlPfLw9EdBzwa1hBkqGQgEKhAIACoHCAow_sf-CjDt3fYCMKW1pAY?hl=en-IN&gl=IN&ceid=IN%3Aen
Jose Mourinho SACKED by Tottenham Hotspur! Did he lose Spurs' dressing room? | Premier League,https://news.google.com/articles/CCAiC0lDYU52YkphaUJNmAEB?hl=en-IN&gl=IN&ceid=IN%3Aen
NASA's experimental Mars helicopter has taken flight,https://news.google.com/articles/CBMifWh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2hvbWUvc2NpZW5jZS9uYXNhcy1leHBlcmltZW50YWwtbWFycy1oZWxpY29wdGVyLWhhcy10YWtlbi1mbGlnaHQvYXJ0aWNsZXNob3cvODIxNDQ1NzQuY21z0gF4aHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vaG9tZS9zY2llbmNlL25hc2FzLWV4cGVyaW1lbnRhbC1tYXJzLWhlbGljb3B0ZXItaGFzLXRha2VuLWZsaWdodC9hbXBfYXJ0aWNsZXNob3cvODIxNDQ1NzQuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen
300-Million-Year-Old Godzilla Shark Discovered in New Mexico Gets a New Name,https://news.google.com/articles/CAIiEO9UmxuqugKMqPMMj3Uq42cqGQgEKhAIACoHCAowgubcCjC2gc8BMN3v1QY?hl=en-IN&gl=IN&ceid=IN%3Aen
NASA greenlights launch of SpaceX's third crew mission to the ISS,https://news.google.com/articles/CAIiEGX2YLLAsHapwdYbBli36SgqFwgEKg8IACoHCAow5v6PATDrwA8wruge?hl=en-IN&gl=IN&ceid=IN%3Aen
"'Is microbial life, including viruses, changing too?'",https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LnRyaWJ1bmVpbmRpYS5jb20vbmV3cy9zY2hvb2xzL2lzLW1pY3JvYmlhbC1saWZlLWluY2x1ZGluZy12aXJ1c2VzLWNoYW5naW5nLXRvby0yNDEyNDDSAWFodHRwczovL3d3dy50cmlidW5laW5kaWEuY29tL25ld3Mvc2Nob29scy9pcy1taWNyb2JpYWwtbGlmZS1pbmNsdWRpbmctdmlydXNlcy1jaGFuZ2luZy10b28tMjQxMjQw?hl=en-IN&gl=IN&ceid=IN%3Aen
Fact check: Is coronavirus airborne,https://news.google.com/articles/CAIiEFdSTna-4WJQJRMzt-Yq3mwqFwgEKg8IACoHCAowpIGZAjC7gyEwptA5?hl=en-IN&gl=IN&ceid=IN%3Aen
How to Find COVID-19 Test and Vaccine Centre Info in India via Google Maps,https://news.google.com/articles/CAIiEDpe3VW-oA6vhBEYpqBAG9AqGQgEKhAIACoHCAow5qqNCzD4q58DMPbXpwY?hl=en-IN&gl=IN&ceid=IN%3Aen
Symptoms post COVID recovery may impact daily life Says Experts - Sentinelassam,https://news.google.com/articles/CAIiEJZFBr9EQcwGlIfZSZHbVWoqMwgEKioIACIQmXuAKgvxlxL5xD1y7pCDjioUCAoiEJl7gCoL8ZcS-cQ9cu6Qg44wyezWBg?hl=en-IN&gl=IN&ceid=IN%3Aen
Fauci says U.S. will likely resume use of J&J Covid vaccine with a warning or restriction,https://news.google.com/articles/CAIiEAtbmGvUWLCcBNGY1nUtYjoqGQgEKhAIACoHCAow2Nb3CjDivdcCMJ_5ngY?hl=en-IN&gl=IN&ceid=IN%3Aen
