title,company,location,salary,summary
Healthcare Integration Developer,BreathX Technologies Pvt Ltd,,"₹9,50,000 a year","Under supervision of the Principal Software Architect & Lead Software Developer, the Healthcare Integration Developer has a development background in the life…"
Systems Engineer II - Integrations,Uber,,,The Integrations Engineer will work in partnership with cross-functional teams to define requirements and ensure the seamless transfer of data within our…
Operations Service Specialist -,Telstra,,,"As an Operations Service Specialist, you will be required to drive restoration of high and critical incidents within Robotics Process Automation environments…"
Technical Lead - Python,StartUs Insights,,"₹13,12,488 - ₹26,25,144 a year","5+ years work experience with big data/data engineering / DAG stateful-stream-processing / data pipelines.
Experience with: Elastic Search, PostgreSQL, Docker."
Python Developer,E2E Research Pvt. Ltd.,"New Delhi, Delhi",,"Sound knowledge of Python Development.
Knowledge in at least one popular Python framework (like Django, Flask or Pyramid).
Hands on experience in CI /CD."
Developer- Python,ITC Infotech,"Bengaluru, Karnataka",,"3+ years of Python development (Big Data, Pandas, etc.).
1+ years of SQL development (queries, procedures, views, table design, etc.)."
Python Developer,Lobotus Technology Pvt Ltd,"Bengaluru, Karnataka","₹50,000 - ₹60,000 a year"," Strong ability to manipulate data using Pandas/Numpy and other python libraries, Should.
 Strong data structures and algorithmic skills."
Python Developer,Tjori.com,"Mahrauli, Delhi","₹25,000 - ₹40,000 a month","Must have worked on APIs and checkout functionality of ecommerce site.
Job Types: Full-time, Volunteer.
ECommerce industry: 1 year (Preferred)."
Data Engineer (Python),StartUs Insights,,"₹8,75,052 - ₹17,50,332 a year","3+ years work experience with big data/data engineering/DAG stateful-stream-processing / data pipelines.
Strong practical knowledge of Python and its libraries."
Jr.ML ENGINEER,Visualyze.ai,"Thiruvananthapuram, Kerala","₹20,000 - ₹40,000 a month","Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress."
"Data Science Analyst - R, Python",Larsen & Toubro Infotech Limited,India,,"Key Responsibilities • Development of statistical models, (predictive and descriptive) using internal and external data to support customer contact activity and…"
Python Developer,Walkover,"Indore, Madhya Pradesh",,"Assist Software Engineering team with understanding product requirements, strategy, implementing technical architecture, creating prototypes amp; management of…"
Python/Django Developer,Euphoric Thought Technologies Pvt Ltd,"Bengaluru, Karnataka","₹3,76,987 - ₹14,86,027 a year","Candidate must have 2 years of experience.
Expertise in Python framework like Django, Flask.
Experience & good understanding of JavaScript, HTML, CSS."
Python Developer,Mastek Limited,"Navi Mumbai, Maharashtra",,"Python Development involve the implementation amp; development of web-based enterprise applications based on the Python technology stack, utilising industry…"
Python Developer,Luxoft,"Chennai, Tamil Nadu",,"The project-focused Developer will work with the PM in developing python scripts for analyzing, comparing files, build integrations between systems, leveraging…"
"Experienced and entry level Java, Python, and Big Data developers",Galaxia Solutions,"Mumbai, Maharashtra",,"Experienced and entry level Java, Python, and Big Data developers (Storm, Spark, Cassandra, NoSQL)."
Python Tutor,Create:Next,"Delhi, Delhi",₹499 - ₹998 an hour,"Applicants must have previous tutor experience and have good knowledge and experience with using and teach Python.
This will be paid on an hourly basis."
Telecommunication-Developer,Wipro LTD,"Chennai, Tamil Nadu",,"As a Senior Developer, you are responsible for development, support, maintenance and implementation of a complex project module."
Python Developer,Algoscale Technologies,"Noida, Uttar Pradesh","₹15,00,000 a year","Develop cloud-based Python Django software products.
Working closely with UX and Front-end Developers.
Participating in architectural, design and product…"
Telecommunication-Developer,Wipro LTD,"Chennai, Tamil Nadu",,"As a Senior Developer, you are responsible for development, support, maintenance and implementation of a complex project module."
Python Developer,Algoscale Technologies,"Noida, Uttar Pradesh","₹15,00,000 a year","Develop cloud-based Python Django software products.
Working closely with UX and Front-end Developers.
Participating in architectural, design and product…"
Python Developer,Navadhiti,"Bengaluru, Karnataka","₹26,133 - ₹1,05,004 a month","Experienced in best practices of the engineering team (GIT, Agile).
Total work: 4 years (Required)."
Python Developer,Equipo Business Solutions Private Limited,"Thiruvananthapuram, Kerala","₹15,499 - ₹69,479 a month","Good Knowledge of Python Identifiers, Reserved Words, Basic Operators, Variable Types, User defined exception handling and their usage."
Software Engineering - Python Developer (Associate),"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",,The team plays a critical role in providing strategic business solutions to enhance reporting of QR Models required for regulatory purpose.
Operation Research,CRETAL SOLUTIONS PRIVATE LIMITED BENGALURU,"Bengaluru, Karnataka","₹9,726 - ₹47,374 a month",Candidate should have background in Operations Research; should have significant experience in handling optimization / allocation problems.
Information System Engineer (Python),StartUs Insights,,,"3+ years work experience with big data/data engineering/DAG stateful-stream-processing / data pipelines.
Strong practical knowledge of Python and its libraries."
"Software Test Engineer – Python, Scripting",Siemens Technology and Services Private Limited,"Pune, Maharashtra",,"Design, build, and maintain efficient, reusable, and reliable test code.
Ensure the best possible performance, quality, and responsiveness of applications."
Python Junior Developer,FULLSTACK TECHIES,India,"₹5,00,000 - ₹10,00,000 a year","Functional Area: IT Software – Application Programming, Maintenance.
Employment Type: Permanent Job, Full Time.
Help writing test-backed server-side code."
Python/Django Developer,Slick Services,"Ahmedabad, Gujarat","₹12,659 - ₹52,058 a month","Familiarity with front-end technologies (like HTML5 or CSS).
BSc in Computer Science, Engineering or relevant field.
Total work: 2 years (Preferred)."
Python developer-BizzmanWeb,BizzmanWeb,"Kolkata, West Bengal","₹12,000 - ₹24,000 a month","Work experience as a Python Developer.
Expertise in at least one popular Python framework.
Good Understanding of Multi-Process Architecture."
Python Developer,Six Sigma,"Chennai, Tamil Nadu","₹50,000 a month","Experience - Minimum No.Of Years 3.0.
Experience - Maximum No.Of Years 6.0.
Expected Date Of Joining 2021-05-21."
Python Developer,Hamon Techonologies,"Calicut, Kerala","₹14,083 - ₹44,041 a month","We at Hamon are looking for Python Developers. Primarily focusing on the ability to learn fast on the job, work hard and deliver quickly. Experience: 6…"
Python Backend Developers,6sense,"Pune, Maharashtra","₹9,00,000 - ₹22,00,000 a year","A Python Developer at 6sense will have the opportunity to.
Optimize components for maximum performance across multiple devices and browsers."
Technical Support Engineer - Chat,Automation Anywhere,"Bengaluru, Karnataka",,"Automation Anywhere is a global leader in Robotic Process Automation (RPA), empowering customers to automate end-to-end business processes with software bots –…"
